DataHora,Prob>1.5x,Prob>2x,Prob>5x,Prob>10x,Prob Ponderada,Media_20,Sequencia_Baixa,Ultimos10,Modo,Calls
2025-09-15 13:16:44,60.0,0.0,0.0,0.0,0.0,1.44,5,"[1.77, 1.0, 1.75, 1.06, 1.63]",Conservador,"[('⚡ Sequência baixa detectada — boa chance de rodada alta até 2x', '75%')]"
2025-09-15 13:17:55,60.0,20.0,20.0,0.0,30.0,2.25,1,"[1.77, 1.0, 1.75, 1.06, 1.63, 1.67, 1.06, 5.19, 6.24, 1.17]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:19:42,53.33,26.67,20.0,0.0,37.33,2.38,0,"[1.67, 1.06, 5.19, 6.24, 1.17, 1.32, 1.09, 4.09, 1.1, 5.52]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:23:12,50.0,25.0,15.0,0.0,24.0,2.15,0,"[1.32, 1.09, 4.09, 1.1, 5.52, 1.1111111111, 1.94, 1.0, 1.09, 2.14]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:24:53,56.0,32.0,20.0,0.0,50.0,2.92,0,"[1.1111111111, 1.94, 1.0, 1.09, 2.14, 3.53, 1.51, 1.44, 9.43, 6.72]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:25:47,60.0,36.67,20.0,0.0,57.0,2.88,0,"[3.53, 1.51, 1.44, 9.43, 6.72, 1.08, 7.05, 2.47, 1.86, 2.05]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:26:07,57.14,37.14,17.14,0.0,44.0,2.74,0,"[1.08, 7.05, 2.47, 1.86, 2.05, 1.26, 1.01, 1.29, 4.27, 2.6]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:27:08,55.0,37.5,15.0,0.0,42.0,2.84,1,"[1.26, 1.01, 1.29, 4.27, 2.6, 1.11, 2.11, 1.15, 3.65, 1.16]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:27:43,53.33,37.78,13.33,0.0,41.0,2.13,1,"[1.11, 2.11, 1.15, 3.65, 1.16, 1.28, 1.0, 2.54, 2.42, 1.31]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:28:06,56.0,42.0,16.0,0.0,68.0,2.52,0,"[1.28, 1.0, 2.54, 2.42, 1.31, 1.06, 2.32, 9.53, 7.06, 2.24]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:50:54,60.0,40.0,40.0,0.0,40.0,4.04,1,"[1.51, 1.44, 9.43, 6.72, 1.08]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:51:56,70.0,50.0,30.0,0.0,55.0,3.49,1,"[1.51, 1.44, 9.43, 6.72, 1.08, 7.05, 2.47, 1.86, 2.05, 1.26]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:52:35,60.0,46.67,20.0,0.0,44.33,3.01,1,"[7.05, 2.47, 1.86, 2.05, 1.26, 1.01, 1.29, 4.27, 2.6, 1.11]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:53:30,55.0,45.0,15.0,0.0,41.0,2.73,2,"[1.01, 1.29, 4.27, 2.6, 1.11, 2.11, 1.15, 3.65, 1.16, 1.28]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:54:01,52.0,44.0,12.0,0.0,41.0,2.13,2,"[2.11, 1.15, 3.65, 1.16, 1.28, 1.0, 2.54, 2.42, 1.31, 1.06]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:55:11,56.67,50.0,16.67,0.0,68.0,2.46,1,"[1.0, 2.54, 2.42, 1.31, 1.06, 2.32, 8.53, 7.06, 2.24, 1.15]",Conservador,"[('✅ Estabilidade detectada — boas entradas curtas até 2x', '70%')]"
2025-09-15 13:55:40,62.86,51.43,20.0,5.71,62.0,17.25,0,"[2.32, 8.53, 7.06, 2.24, 1.15, 21.02, 1.6, 1.87, 279.26, 2.29]",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 13:56:19,57.5,47.5,17.5,5.0,32.0,17.2,0,"[21.02, 1.6, 1.87, 279.26, 2.29, 1.0, 1.2, 1.06, 1.0, 4.04]",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 13:57:11,57.78,46.67,17.78,6.67,39.0,17.77,2,"[1.0, 1.2, 1.06, 1.0, 4.04, 4.59, 1.47, 10.37, 1.81, 1.44]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 13:57:40,58.0,48.0,18.0,6.0,54.0,17.7,2,"[4.59, 1.47, 10.37, 1.81, 1.44, 4.78, 8.93, 3.91, 1.03, 1.24]",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:09:27,100.0,66.67,0.0,0.0,66.67,2.68,0,"[1.55, 4.33, 2.16]","{'<2x': 1, '2–5x': 2, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('✅ Entrada segura até 2x', '100.0%')]"
2025-09-15 14:10:57,83.33,50.0,0.0,0.0,41.67,2.19,2,"[1.55, 4.33, 2.16, 2.53, 1.59, 1.0]","{'<2x': 3, '2–5x': 3, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('✅ Entrada segura até 2x', '83.33333333333334%')]"
2025-09-15 14:12:06,66.67,33.33,0.0,0.0,16.67,1.94,5,"[1.55, 4.33, 2.16, 2.53, 1.59, 1.0, 1.85, 1.19, 1.25]","{'<2x': 6, '2–5x': 3, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 14:13:00,75.0,50.0,8.33,8.33,75.0,2.92,0,"[2.16, 2.53, 1.59, 1.0, 1.85, 1.19, 1.25, 2.6, 11.47, 3.53]","{'<2x': 5, '2–5x': 4, '5–10x': 0, '10–20x': 1, '20+': 0}",Conservador,"[('✅ Entrada segura até 2x', '75.0%')]"
2025-09-15 14:14:58,66.67,46.67,13.33,6.67,38.0,2.81,2,"[1.0, 1.85, 1.19, 1.25, 2.6, 11.47, 3.53, 5.02, 1.01, 1.08]","{'<2x': 6, '2–5x': 2, '5–10x': 1, '10–20x': 1, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:15:23,66.67,38.89,11.11,5.56,19.78,2.59,5,"[1.25, 2.6, 11.47, 3.53, 5.02, 1.01, 1.08, 1.09, 1.59, 1.77]","{'<2x': 6, '2–5x': 2, '5–10x': 1, '10–20x': 1, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 14:15:44,61.9,33.33,9.52,4.76,13.0,2.44,8,"[3.53, 5.02, 1.01, 1.08, 1.09, 1.59, 1.77, 1.0, 1.75, 1.06]","{'<2x': 8, '2–5x': 1, '5–10x': 1, '10–20x': 0, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 14:16:04,62.5,29.17,8.33,4.17,4.0,2.21,11,"[1.08, 1.09, 1.59, 1.77, 1.0, 1.75, 1.06, 1.63, 1.67, 1.06]","{'<2x': 10, '2–5x': 0, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 14:17:25,62.96,33.33,14.81,3.7,45.33,2.62,1,"[1.77, 1.0, 1.75, 1.06, 1.63, 1.67, 1.06, 5.19, 6.24, 1.17]","{'<2x': 8, '2–5x': 0, '5–10x': 2, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:17:38,60.0,33.33,13.33,3.33,31.67,2.69,0,"[1.06, 1.63, 1.67, 1.06, 5.19, 6.24, 1.17, 1.32, 1.09, 4.09]","{'<2x': 7, '2–5x': 1, '5–10x': 2, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:18:06,60.61,33.33,15.15,3.03,32.67,2.12,1,"[1.06, 5.19, 6.24, 1.17, 1.32, 1.09, 4.09, 1.1, 5.52, 1.94]","{'<2x': 6, '2–5x': 1, '5–10x': 3, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:18:23,58.33,33.33,13.89,2.78,30.67,2.17,0,"[1.17, 1.32, 1.09, 4.09, 1.1, 5.52, 1.94, 1.0, 1.09, 2.14]","{'<2x': 7, '2–5x': 2, '5–10x': 1, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:18:55,58.97,33.33,12.82,2.56,34.67,2.28,2,"[4.09, 1.1, 5.52, 1.94, 1.0, 1.09, 2.14, 3.53, 1.51, 1.44]","{'<2x': 6, '2–5x': 3, '5–10x': 1, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:19:09,59.52,35.71,16.67,2.38,53.33,2.92,1,"[1.94, 1.0, 1.09, 2.14, 3.53, 1.51, 1.44, 9.43, 6.72, 1.08]","{'<2x': 6, '2–5x': 2, '5–10x': 2, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:19:21,62.22,37.78,17.78,2.22,60.33,3.09,1,"[2.14, 3.53, 1.51, 1.44, 9.43, 6.72, 1.08, 7.05, 2.47, 1.86]","{'<2x': 4, '2–5x': 3, '5–10x': 3, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:19:34,60.42,37.5,16.67,2.08,40.67,2.87,2,"[1.44, 9.43, 6.72, 1.08, 7.05, 2.47, 1.86, 2.05, 1.26, 1.01]","{'<2x': 5, '2–5x': 2, '5–10x': 3, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:19:47,60.78,39.22,15.69,1.96,58.33,2.96,0,"[1.08, 7.05, 2.47, 1.86, 2.05, 1.26, 1.01, 1.29, 4.27, 2.6]","{'<2x': 5, '2–5x': 4, '5–10x': 1, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:20:06,59.26,38.89,14.81,1.85,38.67,2.76,1,"[1.86, 2.05, 1.26, 1.01, 1.29, 4.27, 2.6, 1.11, 2.11, 1.15]","{'<2x': 6, '2–5x': 4, '5–10x': 0, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:20:24,57.89,38.6,14.04,1.75,37.67,2.73,2,"[1.01, 1.29, 4.27, 2.6, 1.11, 2.11, 1.15, 3.65, 1.16, 1.28]","{'<2x': 6, '2–5x': 4, '5–10x': 0, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:20:36,58.33,40.0,13.33,1.67,58.33,2.4,0,"[2.6, 1.11, 2.11, 1.15, 3.65, 1.16, 1.28, 1.0, 2.54, 2.42]","{'<2x': 5, '2–5x': 5, '5–10x': 0, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:20:47,57.14,39.68,12.7,1.59,37.67,1.9,0,"[1.15, 3.65, 1.16, 1.28, 1.0, 2.54, 2.42, 1.31, 1.06, 2.32]","{'<2x': 6, '2–5x': 4, '5–10x': 0, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:21:07,59.09,42.42,15.15,1.52,78.0,2.52,0,"[1.28, 1.0, 2.54, 2.42, 1.31, 1.06, 2.32, 9.53, 7.06, 2.24]","{'<2x': 4, '2–5x': 4, '5–10x': 2, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:21:29,59.42,42.03,15.94,2.9,45.67,3.53,1,"[2.42, 1.31, 1.06, 2.32, 9.53, 7.06, 2.24, 1.15, 21.02, 1.6]","{'<2x': 4, '2–5x': 3, '5–10x': 2, '10–20x': 0, '20+': 1}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
2025-09-15 14:22:09,61.11,43.06,16.67,4.17,65.33,17.3,0,"[2.32, 9.53, 7.06, 2.24, 1.15, 21.02, 1.6, 1.87, 279.26, 2.29]","{'<2x': 3, '2–5x': 3, '5–10x': 2, '10–20x': 0, '20+': 2}",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:22:37,58.67,41.33,16.0,4.0,21.0,17.12,3,"[2.24, 1.15, 21.02, 1.6, 1.87, 279.26, 2.29, 1.0, 1.2, 1.06]","{'<2x': 6, '2–5x': 2, '5–10x': 0, '10–20x': 0, '20+': 2}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%'), ('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:23:33,58.97,42.31,15.38,3.85,56.33,17.43,0,"[1.6, 1.87, 279.26, 2.29, 1.0, 1.2, 1.06, 1.0, 4.04, 4.59]","{'<2x': 6, '2–5x': 3, '5–10x': 0, '10–20x': 0, '20+': 1}",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:23:58,59.26,41.98,16.05,4.94,38.67,17.8,1,"[2.29, 1.0, 1.2, 1.06, 1.0, 4.04, 4.59, 1.47, 10.37, 1.81]","{'<2x': 6, '2–5x': 3, '5–10x': 0, '10–20x': 1, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:24:13,59.52,42.86,16.67,4.76,58.33,17.91,0,"[1.06, 1.0, 4.04, 4.59, 1.47, 10.37, 1.81, 1.44, 4.78, 8.93]","{'<2x': 5, '2–5x': 3, '5–10x': 1, '10–20x': 1, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:24:27,58.62,42.53,16.09,4.6,40.67,17.7,2,"[4.59, 1.47, 10.37, 1.81, 1.44, 4.78, 8.93, 3.91, 1.03, 1.24]","{'<2x': 5, '2–5x': 3, '5–10x': 1, '10–20x': 1, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:24:43,60.0,43.33,17.78,6.67,58.33,20.07,0,"[1.81, 1.44, 4.78, 8.93, 3.91, 1.03, 1.24, 19.53, 1.69, 50.76]","{'<2x': 5, '2–5x': 2, '5–10x': 1, '10–20x': 1, '20+': 1}",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:24:56,60.22,43.01,18.28,7.53,40.67,8.26,0,"[8.93, 3.91, 1.03, 1.24, 19.53, 1.69, 50.76, 1.55, 1.02, 43.77]","{'<2x': 5, '2–5x': 1, '5–10x': 1, '10–20x': 1, '20+': 2}",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:25:13,60.42,42.71,17.71,7.29,38.67,8.4,2,"[1.24, 19.53, 1.69, 50.76, 1.55, 1.02, 43.77, 3.23, 1.63, 1.13]","{'<2x': 6, '2–5x': 1, '5–10x': 0, '10–20x': 1, '20+': 2}",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:25:31,60.61,41.41,17.17,7.07,17.0,8.13,5,"[50.76, 1.55, 1.02, 43.77, 3.23, 1.63, 1.13, 1.55, 1.28, 1.91]","{'<2x': 7, '2–5x': 1, '5–10x': 0, '10–20x': 0, '20+': 2}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%'), ('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:26:11,59.8,40.2,16.67,6.86,13.0,7.64,8,"[43.77, 3.23, 1.63, 1.13, 1.55, 1.28, 1.91, 1.01, 1.51, 1.29]","{'<2x': 8, '2–5x': 1, '5–10x': 0, '10–20x': 0, '20+': 1}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%'), ('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 14:26:33,60.95,41.9,17.14,6.67,66.0,7.46,0,"[1.13, 1.55, 1.28, 1.91, 1.01, 1.51, 1.29, 4.17, 4.19, 5.74]","{'<2x': 7, '2–5x': 2, '5–10x': 1, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 14:27:02,62.04,43.52,18.52,7.41,77.0,8.67,0,"[1.91, 1.01, 1.51, 1.29, 4.17, 4.19, 5.74, 3.6, 5.32, 37.09]","{'<2x': 4, '2–5x': 3, '5–10x': 2, '10–20x': 0, '20+': 1}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
2025-09-15 14:28:21,62.16,44.14,19.82,8.11,67.33,8.26,1,"[1.29, 4.17, 4.19, 5.74, 3.6, 5.32, 37.09, 9.7, 35.0, 1.15]","{'<2x': 2, '2–5x': 3, '5–10x': 3, '10–20x': 0, '20+': 2}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
2025-09-15 14:36:15,62.28,44.74,19.3,7.89,67.33,6.18,0,"[5.74, 3.6, 5.32, 37.09, 9.7, 35.0, 1.15, 1.0, 2.62, 2.76]","{'<2x': 2, '2–5x': 3, '5–10x': 3, '10–20x': 0, '20+': 2}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
2025-09-15 14:36:34,62.39,44.44,18.8,7.69,45.67,6.3,1,"[37.09, 9.7, 35.0, 1.15, 1.0, 2.62, 2.76, 1.0, 3.88, 1.7]","{'<2x': 4, '2–5x': 3, '5–10x': 1, '10–20x': 0, '20+': 2}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
2025-09-15 14:36:47,62.5,44.17,19.17,8.33,40.67,7.24,1,"[1.15, 1.0, 2.62, 2.76, 1.0, 3.88, 1.7, 1.31, 20.24, 1.52]","{'<2x': 6, '2–5x': 3, '5–10x': 0, '10–20x': 0, '20+': 1}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
